,post_from,post_id,post_name,post_type,post_message,post_link,post_shares,created_time
79,262755230730537,262755230730537_540786499594074,TN Todo Noticias,link,,https://tn.com.ar/sociedad/debarrio-la-cantina-de-boedo-que-sirve-pastas-hace-90-anos-sin-parar_833575,,2017-11-10 15:39:53
80,262755230730537,262755230730537_540766559596068,Souffle de chocolate,video,"Te caen visitas el finde y no sabes que preparar? 

Esta es tu salvacion! Con 7 minutos de horno y mucho chocolate vas a conquistar a todos  #Cucinare",https://www.facebook.com/cucinareok/videos/540766559596068/,,2017-11-10 15:00:01
81,262755230730537,262755230730537_540756832930374,Fusilli al scarparo de Spiagge Di Napoli,video,Sabias que el plato estrella de Spiagge di Napoli es el fusilli a la escarparo? Descubrilo en #DeBarrio,https://www.facebook.com/cucinareok/videos/540756832930374/,,2017-11-10 14:30:00
82,262755230730537,262755230730537_540753639597360,TN Todo Noticias,video,,https://www.facebook.com/todonoticias/videos/10156811625144863/,,2017-11-10 13:48:42
83,262755230730537,262755230730537_540711606268230,De Barrio: Fusilli a la scarparo de Spiagge Di Napoli,link,"Pasta italiana y bien casera, la nueva parada en esta recorrida imperdible de Eddie Fitte por el circuito gastronomico alternativo porteno.",https://www.cucinare.tv/receta/fusilli-a-la-scarparo-de-spiagge-di-napoli/,,2017-11-10 12:00:09
84,262755230730537,262755230730537_540694946269896,Strudel de espinaca,video,"STRUDEL DE ESPINACA 

Cambia tus comidas de todos los dias y proba esta receta super facil! Vas a poder disfrutar de la espinaca en tan solo minutos  #Cucinare",https://www.facebook.com/cucinareok/videos/540694946269896/,,2017-11-10 11:36:15
85,262755230730537,262755230730537_540658162940241,VIVO - Cual es tu queso favorito?,video,#BatallaDeLosViernes Cual es el queso que no podes dejar de comer?,https://www.facebook.com/cucinareok/videos/540658162940241/,,2017-11-10 10:38:26
86,262755230730537,262755230730537_540599272946130,Cucinare: Pepas de cacao con chocolate blanco,video,"Arrancar el dia con pepas de chocolate... 

Hay algo mejor que eso? #Cucinare",https://www.facebook.com/cucinareok/videos/540599272946130/,,2017-11-10 07:48:15
87,262755230730537,262755230730537_540430982962959,,video,"PIONONO DE FRUTAS 

Con este #postre que te presentamos en #CucinareTV vas a quedar bien con todos...incluso con tu suegra!  Animate a prepararlo y llevate todos los aplausos #RecetasDulces",https://www.facebook.com/cucinareok/videos/540430982962959/,,2017-11-09 23:00:27
88,262755230730537,262755230730537_540296472976410,Croquetas de zanahoria y brocoli,video,"Quien dijo que las croquetas son solo de acelga, espinaca o arroz? Mira esta receta super sencilla de Croquetas de Zanahoria! 

[Contenido patrocinado]",https://www.facebook.com/cucinareok/videos/540296472976410/,,2017-11-09 20:30:00
89,262755230730537,262755230730537_540274019645322,Roll de pollo y pimientos,video,"ROLL DE POLLO Y PIMIENTOS 

Aprovecha esta receta y sorprende a tus amigos con esta opcion diferente y riquisima  #Cucinare #RecetasParaCompartir",https://www.facebook.com/cucinareok/videos/540274019645322/,,2017-11-09 19:00:00
90,262755230730537,262755230730537_540304376308953,"Orgullo! Una heladeria argentina, en el top ten mundial",link,Cual es tu heladeria favorita? ,https://www.cucinare.tv/2017/11/09/orgullo-una-heladeria-argentina-en-el-top-ten-mundial/,,2017-11-09 18:02:00
91,262755230730537,262755230730537_540306336308757,Los 10 platos imperdibles de Masticar 2017,link,Este top ten de alternativas promete arrasar con las preferencias de los fanaticos de la famosa feria gastronomica portena.,https://www.cucinare.tv/2017/11/09/los-10-platos-imperdibles-de-masticar-2017/,,2017-11-09 16:32:00
92,262755230730537,262755230730537_540243682981689,Torta helada con galletitas de chocolate,video,"No dejes de probar esta TORTA HELADA con galletitas de chocolate, es una bombaaa!  #Cucinare",https://www.facebook.com/cucinareok/videos/540243682981689/,,2017-11-09 15:00:01
93,262755230730537,262755230730537_540206186318772,Cordero asado con cebollas moradas y batatas,video,"Que bien que se ve este CORDERO ASADO! 

Todavia no te tentaste? Es hora de probarlo... #Cucinare",https://www.facebook.com/cucinareok/videos/540206186318772/,,2017-11-09 10:45:00
